Name,Price,Url,Img
Asrock H310M-G/M.2 8th Gen DDR4 Motherboard,"7,300৳",https://www.startech.com.bd/asrock-h310m-g-m-2-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asrock/h310m-gm2/h310m-gm2-228x228.jpg
ASUS H61M-K,"6,400৳",https://www.startech.com.bd/asus-h61m-k,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/h61m-k/h61m-k-228x228.jpg
Gigabyte H310M H 8th Gen Micro ATX Motherboard,"6,800৳",https://www.startech.com.bd/gigabyte-h310m-h-8th-gen-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/h310m-h/h310m-h-1-228x228.jpg
Gigabyte GeForce RTX 2060 Gaming OC Pro 6G Graphics Card,"41,000৳",https://www.startech.com.bd/gigabyte-rtx-2060-oc-pro-6g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-2060-pro-6gb/rtx-2060-pro-6gb-228x228.jpg
Gigabyte GeForce RTX 2060 OC 6GB Graphics Card,"38,000৳",https://www.startech.com.bd/gigabyte-rtx-2060-oc-6gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-oc-6gb/oc-6gb-228x228.jpg
Gigabyte GeForce RTX 2060 WINDFORCE OC 6G Graphics Card,"39,000৳",https://www.startech.com.bd/gigabyte-rtx-2060-windforce-6gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-2060/rtx-2060-228x228.jpg
Gigabyte GeForce RTX 2080 GAMING OC WHITE 8G GDDR6 Graphics Card  ,"78,500৳",https://www.startech.com.bd/gigabyte-geforce-rtx-2080-gaming-oc-white-8g-graphics-card  ,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/2080-gaming/2080-gaming-1-228x228.jpg
Gigabyte GeForce RTX 2080 Gaming OC 8G Graphics Card,"81,000৳",https://www.startech.com.bd/gigabyte-rtx-2080-oc-8g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/rtx-2080-oc-8g/rtx-2080-oc-8g-228x228.jpg
Gigabyte Aorus GeForce RTX 2080 Xtreme 8G Graphics Card,"86,000৳",https://www.startech.com.bd/gigabyte-aorus-rtx-2080-xtreme-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/gigabyte/2080-aorus-8g/2080-8g-228x228.jpg
GALAX GeForce RTX 2080Ti HOF 11GB GDDR6 Graphics Card,"148,000৳",https://www.startech.com.bd/galax-rtx-2080ti-hof-11gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/2080ti-hof/2080ti-hof-228x228.jpg
XFX RX 580 GTS XXX Edition 8GB DDR5 Graphics Card,"27,000৳",https://www.startech.com.bd/xfx-580-gts-xxx-edition-8gb-graphics-card,https://www.startech.com.bd/image/cache/catalog/component/graphics-card/xfx/xfx-rx580-228x228.jpg
ASRock Phantom Gaming X Radeon RX590 8G OC Graphics Card,"28,200৳",https://www.startech.com.bd/asrock-phantom-gaming-x-radeon-rx590-8g-oc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asrock/rx590-8g-oc/phantom-gaming-x-radeon-rx590-8g-oc-1-228x228.jpg
ASRock Phantom Gaming Radeon RX560 4GB GDDR5 Graphics Card,"14,000৳",https://www.startech.com.bd/phantom-rx560-4g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asrock/rx560-4gb/rx560-4gb-228x228.jpg
ASRock Phantom Gaming X Radeon RX580 8G OC Graphics Card,"32,000৳",https://www.startech.com.bd/phantom-gxr-rx580-8g-oc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asrock/rx580-8g/rx580-8g-oc-228x228.jpg
Asus Cerberus GeForce GTX 1050 Ti OC Edition 4GB GDDR5 Graphics Card,"20,200৳",https://www.startech.com.bd/asus-cerberus-gtx-1050ti-o4g-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/cerberus-1050ti-oc-4g/1050ti-oc-4g-228x228.jpg
Asus Dual GTX1070 OC 8GB GDDR5 Graphics Card,"51,000৳",https://www.startech.com.bd/asus-dual-gtx1070-oc-8gb,https://www.startech.com.bd/image/cache/catalog/graphics/Asus/ASUS DUAL-GTX1070-OC-8GB-228x228.jpg
ASUS GeForce GT 1030 2GB GDDR5 graphics card ,"9,500৳",https://www.startech.com.bd/asus-gt-1030-2gb-graphics-card ,https://www.startech.com.bd/image/cache/catalog/Component/graphics card/asus/1030/g10330-228x228.png
Asus GT710-SL-2GD5 Graphics Card,"5,800৳",https://www.startech.com.bd/asus-gt-710-sl-2gd5-graphics-card,https://www.startech.com.bd/image/cache/catalog/Component/graphics card/asus/710/gt-sl-710-2gb/710-228x228.png
Asus Phoenix GeForce GT 1030 OC edition 2GB DDR4 Graphics Card,"8,800৳",https://www.startech.com.bd/ph-gt1030-O2gd4-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/asus/ph-1030-oc-2g/asus-ph-1030-oc-2g-228x228.jpg
Asus Strix GeForce® GTX 1060-DC2O6G OC Edition 6GB GDDR5 Graphics Card,"35,500৳",https://www.startech.com.bd/asus-strix-gtx1060-dc2O6g,https://www.startech.com.bd/image/cache/catalog/Component/graphics card/asus/206g/206g--228x228.png
Galax GeForce GTX 1060 OC 6GB GDDR5X Graphics Card,"27,500৳",https://www.startech.com.bd/galax-gtx-1060-oc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1060-oc-6gb/1060-oc-6gb-228x228.jpg
GALAX GeForce GTX 1070 Ti HOF 8 GB GDDR5/X Graphics Card,"50,500৳",https://www.startech.com.bd/galax-geforce-gtx-1070-ti-hof-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1070ti-8gb-hof/hof-gtx-1070ti-1-228x228.jpg
GALAX GeForce® GTX 1050 Ti OC DDR5 4 GB Graphics Card,"16,500৳",https://www.startech.com.bd/galax-gtx-1050-ti-oc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1050-ti-oc/1050-ti-oc-228x228.jpg
GALAX GeForce® GTX 1060 EXOC White 6GB GDDR5/X Graphics Card,"28,500৳",https://www.startech.com.bd/galax-geforce-gtx-1060-exoc-graphics-card,https://www.startech.com.bd/image/cache/catalog/graphics-card/galax/1060-exoc-white/1060-white-228x228.jpg
Intel 8th Generation Core i7-8700K Processor,"37,200৳",https://www.startech.com.bd/intel-8th-gen-i7-8700k,https://www.startech.com.bd/image/cache/catalog/processor/Intel/8th Gen/Intel 8th Gen i7 8700K/8700k-228x228.jpg
Intel 9th Generation Core i7-9700K Processor,"38,500৳",https://www.startech.com.bd/intel-core-i7-9700k-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/9700k/i7-9700k-1-228x228.jpg
AMD Ryzen Threadripper 1950X 16-core/32-thread Desktop Processor,"71,500৳",https://www.startech.com.bd/amd-ryzen-threadripper-1950x-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-threadripper-228x228.png
Intel 9th generation Core i9-9900K Processor,"49,000৳",https://www.startech.com.bd/intel-core-i9-9900k-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/9900k/intel-core-i9-9900k-228x228.jpg
